# Core glossary: word <TAB> kazakh <TAB> simple english <TAB> pos (optional)
#
# Ordered by how often the word appears in the six books, so the top of this
# file is what a reader meets on almost every page. Inflected forms are only
# listed when the guesser in dict.js cannot get back to the base (went, took,
# children) or when the form means something of its own (I'm, don't).
#
# Anything not here is fetched online once and cached. To see what is worth
# adding next:  python3 tools/build_dict.py --missing 200
#
# Rebuild after editing:  python3 tools/build_dict.py

each	әрбір	every one, one by one	det
yes	иә	you agree	adv
write	жазу	to make words with a pen	verb
well	жақсы	in a good way	adv
than	қарағанда	used to compare	conj
take	алу	to put in your hand	verb
into	ішіне	to the inside of	prep
make	жасау	to build or create	verb
money	ақша	you buy things with it	noun
need	қажет ету	must have it	verb
long	ұзын, ұзақ	not short	adj
their	олардың	belonging to them	det
said	айтты	past of "say"	verb
went	барды	past of "go"	verb
here	мұнда	in this place	adv
always	әрқашан	every time, all the time	adv
verb	етістік	a word for an action	noun
after	кейін	later than	prep
look	қарау	to turn your eyes to	verb
our	біздің	belonging to us	det
day	күн	24 hours	noun
i'll	мен ...-мын (болашақ)	short for "I will"	verb
down	төмен	to a lower place	adv
why	неге	asks about a reason	adv
can't	алмайды	short for "cannot"	verb
someone	біреу	a person you do not name	pron
say	айту	to speak words	verb
other	басқа	not this one	det
year	жыл	12 months	noun
before	бұрын	earlier than	prep
most	ең көп	more than all others	det
home	үй	where you live	noun
things	заттар	objects or ideas	noun
he's	ол ...	short for "he is/has"	verb
question	сұрақ	you ask it to learn	noun
must	міндетті	it is necessary	verb
used	пайдаланды	past of "use"	verb
because	өйткені	gives the reason	conj
first	бірінші	before all others	adj
back	арт; қайта	the rear, or again	noun
us	бізді	we, after a verb	pron
also	сондай-ақ	as well, too	adv
something	бірдеңе	a thing you do not name	pron
holiday	демалыс	days off work	noun
never	ешқашан	not at any time	adv
many	көп (саналатын)	a large number	det
opposite	қарама-қарсы	the completely other one	adj
off	өшірулі; түсіп	away from, or not on	adv
answer	жауап	what you say to a question	noun
next	келесі	the one after this	adj
often	жиі	many times	adv
find	табу	to see what you looked for	verb
too	тым; де	more than needed, or also	adv
she's	ол ...	short for "she is/has"	verb
only	тек	no more than that	adv
come	келу	to move to this place	verb
give	беру	to hand to someone	verb
week	апта	seven days	noun
way	жол; тәсіл	a road, or a method	noun
i'd	мен ...-ер едім	short for "I would/had"	verb
away	алыс, кетіп	to another place	adv
left	сол жақ; кетті	the side, or past of leave	adj
school	мектеп	where children learn	noun
same	бірдей	not different	adj
three	үш	the number 3	num
house	үй	a building you live in	noun
live	тұру; өмір сүру	to have your home there	verb
country	ел	a land with its own laws	noun
really	шынымен	truly, very	adv
both	екеуі де	the two together	det
quite	әжептәуір	rather, fairly	adv
right	дұрыс; оң жақ	correct, or not left	adj
children	балалар	more than one child	noun
child	бала	a young person	noun
might	мүмкін	perhaps it will happen	verb
help	көмектесу	to make it easier for someone	verb
few	аз	not many	det
open	ашу; ашық	not closed	verb
does	істей ме (ол)	"do" for he, she, it	verb
room	бөлме	one space inside a house	noun
may	мүмкін; мамыр	perhaps, or the month	verb
ask	сұрау	to say a question	verb
then	сосын	after that	adv
party	той, кеш	people meeting to have fun	noun
ok	жарайды	fine, all right	adv
night	түн	when it is dark	noun
every	әр	all of them, one by one	det
usually	әдетте	most of the time	adv
friend	дос	a person you like	noun
still	әлі	it has not stopped	adv
meaning	мағына	what a word says	noun
company	компания	a business	noun
necessary	қажет	you must have it	adj
late	кеш	after the right time	adj
own	өзінің; иелену	belonging to you alone	adj
english	ағылшын тілі	the language of England	noun
being	болу	the -ing form of "be"	verb
leave	кету; қалдыру	to go away from	verb
past	өткен	the time before now	noun
person	адам	one human	noun
made	жасады	past of "make"	verb
noun	зат есім	a word for a thing	noun
different	басқаша	not the same	adj
box	қорап	a container with sides	noun
old	кәрі, ескі	not young, not new	adj
end	соңы	where it stops	noun
form	түр, форма	the shape or version	noun
present	осы шақ; сыйлық	now, or a gift	noun
choose	таңдау	to pick one	verb
working	жұмыс істеп	doing a job now	verb
nice	жақсы, жағымды	pleasant	adj
great	керемет	very good, very big	adj
morning	таң	the early part of the day	noun
phone	телефон	you talk to people on it	noun
page	бет	one side of paper in a book	noun
keep	сақтау	to hold and not give back	verb
anything	кез келген нәрсе	any thing at all	pron
again	қайтадан	one more time	adv
place	орын	where something is	noun
eat	жеу	to put food in your mouth	verb
book	кітап	pages with words, bound	noun
buy	сатып алу	to get it for money	verb
you're	сен ...-сың	short for "you are"	verb
read	оқу	to look at words and understand	verb
told	айтты	past of "tell"	verb
looking	қарап	using your eyes now	verb
able	қабілетті	you can do it	adj
given	берілген	past part of "give"	verb
five	бес	the number 5	num
small	кішкентай	not big	adj
tell	айту	to give news to a person	verb
ever	бір кезде	at any time	adv
won't	болмайды	short for "will not"	verb
soon	жақында	in a short time	adv
even	тіпті	makes it stronger	adv
weather	ауа райы	rain, sun, wind	noun
today	бүгін	this day	adv
hard	қиын; қатты	difficult, or not soft	adj
friends	достар	more than one friend	noun
number	сан, нөмір	1, 2, 3 and so on	noun
rather	керісінше; біршама	instead, or fairly	adv
since	бері	from that time until now	prep
bad	жаман	not good	adj
doing	істеп жатқан	making an action now	verb
bit	біраз	a small amount	noun
exercise	жаттығу	practice work	noun
city	қала	a big town	noun
problem	мәселе	something that is wrong	noun
sure	сенімді	you have no doubt	adj
gave	берді	past of "give"	verb
table	үстел	furniture with a flat top	noun
better	жақсырақ	more good	adj
am	-мын (мен)	"be" for I	verb
having	бар болып	the -ing form of "have"	verb
train	пойыз	it runs on rails	noun
stay	қалу	to not leave	verb
road	жол	cars drive on it	noun
feel	сезіну	to have a feeling	verb
play	ойнау	to do a game	verb
pay	төлеу	to give money for	verb
try	тырысу	to make an effort	verb
food	тамақ	what you eat	noun
information	ақпарат	facts you are told	noun
match	сәйкестендіру; матч	to pair up, or a game	verb
similar	ұқсас	almost the same	adj
less	азырақ	a smaller amount	det
ten	он	the number 10	num
remember	есте сақтау	to keep it in your mind	verb
until	дейін	up to that time	prep
man	ер адам	a grown male	noun
police	полиция	they catch criminals	noun
little	кішкентай; аз	small, or not much	adj
life	өмір	being alive	noun
hear	есту	to take in sound	verb
brackets	жақша	the marks ( )	noun
shop	дүкен	you buy things there	noun
between	арасында	in the middle of two	prep
lost	жоғалтты	past of "lose"	verb
during	кезінде	all through that time	prep
tomorrow	ертең	the day after today	adv
found	тапты	past of "find"	verb
took	алды	past of "take"	verb
hour	сағат	sixty minutes	noun
thought	ойлады; ой	past of "think"	verb
walk	жаяу жүру	to go on your feet	verb
mind	ой, сана	where you think	noun
best	ең жақсы	better than all	adj
waiting	күтіп	staying until it comes	verb
love	жақсы көру	to like very much	verb
world	әлем	the whole earth	noun
yesterday	кеше	the day before today	adv
asked	сұрады	past of "ask"	verb
exam	емтихан	a test at school	noun
enough	жеткілікті	as much as you need	det
met	кездесті	past of "meet"	verb
mean	білдіру	to have this meaning	verb
dictionary	сөздік	a book of word meanings	noun
meeting	жиналыс	people talking about work	noun
meet	кездесу	to come together	verb
please	өтінемін	a polite word for asking	adv
change	өзгерту	to make it different	verb
important	маңызды	it matters a lot	adj
phrase	сөз тіркесі	a small group of words	noun
evening	кеш	the end of the day	noun
stop	тоқтау	to end moving or doing	verb
formal	ресми	polite and official	adj
through	арқылы	in one side and out the other	prep
started	бастады	past of "start"	verb
another	тағы бір	one more	det
seen	көрген	past part of "see"	verb
station	бекет	where trains stop	noun
door	есік	you open it to go in	noun
living	тұрып жатқан	having your home there	verb
speak	сөйлеу	to say words	verb
student	студент	a person who studies	noun
done	істелген	past part of "do"	verb
yet	әлі	up to now	adv
wish	тілеу	to want something not real	verb
airport	әуежай	where planes land	noun
sometimes	кейде	not often, not never	adv
letter	хат; әріп	a written message, or a, b, c	noun
moment	сәт	a very short time	noun
wait	күту	to stay until it happens	verb
building	ғимарат	a house, office or shop	noun
wrong	қате	not correct	adj
course	курс	lessons on one subject	noun
office	кеңсе	a room where people work	noun
wanted	қалады	past of "want"	verb
watch	қарау; сағат	to look at, or a clock	verb
name	аты	what you call someone	noun
making	жасап	building something now	verb
around	айналасында	on every side	prep
drive	көлік жүргізу	to make a car go	verb
although	дегенмен	even if that is true	conj
language	тіл	words people speak	noun
decided	шешті	past of "decide"	verb
cold	суық	not warm	adj
enjoy	рахат алу	to like doing it	verb
clothes	киім	shirts, trousers, coats	noun
heard	естіді	past of "hear"	verb
sorry	кешіріңіз	a word for saying you feel bad	adj
early	ерте	before the usual time	adj
restaurant	мейрамхана	you pay to eat there	noun
accident	жазатайым оқиға	a bad thing nobody planned	noun
start	бастау	to begin	verb
far	алыс	a long way away	adv
true	шын	it really is so	adj
difficult	қиын	not easy	adj
rain	жаңбыр	water falling from clouds	noun
call	телефон соғу; атау	to phone, or to name	verb
business	бизнес, іс	buying and selling	noun
hope	үміттену	to want it to happen	verb
part	бөлік	a piece of the whole	noun
afraid	қорқады	feeling fear	adj
prefer	артық көру	to like this one more	verb
already	әлдеқашан	before now	adv
simple	қарапайым	easy, not complicated	adj
called	деп аталады	given this name	verb
order	тапсырыс; тәртіп	to ask for goods, or the sequence	noun
married	үйленген	having a husband or wife	adj
anyone	кез келген адам	any person	pron
its	оның	belonging to a thing	det
thing	зат	an object or idea	noun
tired	шаршаған	needing rest	adj
flat	пәтер	rooms you live in, in a block	noun
busy	бос емес	having a lot to do	adj
later	кейінірек	after this time	adv
appropriate	қолайлы	right for this situation	adj
traffic	көлік ағыны	cars moving on the road	noun
arrived	келді	past of "arrive"	verb
arrive	жету, келу	to reach a place	verb
teacher	мұғалім	a person who teaches	noun
cinema	кинотеатр	where you watch films	noun
looked	қарады	past of "look"	verb
travel	саяхаттау	to go from place to place	verb
email	электрондық хат	a message sent by computer	noun
four	төрт	the number 4	num
street	көше	a road in a town	noun
minute	минут	sixty seconds	noun
bought	сатып алды	past of "buy"	verb
wear	кию	to have clothes on you	verb
somebody	біреу	some person	pron
study	оқу, зерттеу	to learn about something	verb
hair	шаш	it grows on your head	noun
we're	біз ...-мыз	short for "we are"	verb
perfect	мінсіз	with nothing wrong	adj
says	дейді	"say" for he, she, it	verb
gone	кетті	past part of "go"	verb
expensive	қымбат	costing a lot of money	adj
month	ай	about 30 days	noun
fire	өрт, от	hot flames that burn	noun
bank	банк	it keeps your money	noun
wouldn't	еткісі келмеді	short for "would not"	verb
hospital	аурухана	where sick people are treated	noun
happy	бақытты	feeling good	adj
decision	шешім	what you choose to do	noun
news	жаңалық	reports of what happened	noun
window	терезе	glass in a wall	noun
shall	-мыз ба	used to offer or suggest	verb
trying	тырысып	making an effort now	verb
serious	байыпты; ауыр	not joking, or very bad	adj
informal	бейресми	relaxed, not official	adj
happened	болды	past of "happen"	verb
happen	болу	to take place	verb
whether	ме, бе	if, one way or the other	conj
driving	көлік жүргізу	making a car go	verb
outside	сыртта	not inside	adv
kind	түр; мейірімді	a type, or nice to people	noun
came	келді	past of "come"	verb
internet	интернет	the world computer network	noun
continuous	созылмалы	going on without stopping	adj
spend	жұмсау	to use money or time	verb
picture	сурет	a photo or drawing	noun
playing	ойнап	doing a game now	verb
key	кілт; жауап	it opens a lock, or the answers	noun
following	келесі	coming after this	adj
false	жалған	not true	adj
though	дегенмен	even so	conj
future	болашақ	the time after now	noun
let	рұқсат ету	to allow	verb
everything	бәрі	all things	pron
tennis	теннис	a game with rackets	noun
bed	төсек	you sleep in it	noun
water	су	you drink it	noun
recently	жақында	a short time ago	adv
however	алайда	but, even so	adv
music	музыка	sounds you listen to	noun
team	команда	people playing together	noun
taking	алып	holding or moving now	verb
light	жарық; жеңіл	brightness, or not heavy	noun
completely	мүлдем	fully, in every way	adv
turn	бұру; кезек	to change direction, or your go	verb
full	толы	with no space left	adj
fill	толтыру	to make it full	verb
centre	орталық	the middle	noun
shopping	дүкен аралау	buying things in shops	noun
feeling	сезім	what your heart says	noun
weekend	демалыс күндері	Saturday and Sunday	noun
spent	жұмсады	past of "spend"	verb
once	бір рет	one time	adv
believe	сену	to think it is true	verb
suitable	жарамды	right for the job	adj
run	жүгіру	to move fast on your feet	verb
woman	әйел	a grown female	noun
understand	түсіну	to know what it means	verb
visit	бару, қонаққа бару	to go and see someone	verb
point	нүкте; көрсету	a fact, or to show with a finger	noun
hardly	әрең	almost not at all	adv
family	отбасы	parents and children	noun
nobody	ешкім	not one person	pron
second	екінші; секунд	after the first, or a tiny time	adj
unless	болмаса	if this does not happen	conj
means	білдіреді	"mean" for he, she, it	verb
dinner	кешкі ас	the main evening meal	noun
coming	келе жатқан	moving here now	verb
finish	аяқтау	to bring to an end	verb
six	алты	the number 6	num
mother	ана	your female parent	noun
nothing	ештеңе	not one thing	pron
noise	шу	a loud unpleasant sound	noun
idea	идея, ой	a thought or plan	noun
either	екеуінің бірі	one or the other	det
expect	күту	to think it will happen	verb
broken	сынған	in pieces, not working	adj
walking	жаяу жүріп	going on foot now	verb
lunch	түскі ас	the midday meal	noun
near	жақын	a short way away	prep
stopped	тоқтады	past of "stop"	verb
angry	ашулы	feeling very cross	adj
mark	белгілеу; баға	to write a sign, or a grade	verb
football	футбол	a game with a ball and feet	noun
park	саябақ; қою	green land, or to leave a car	noun
across	арқылы, қарсы бетке	from one side to the other	prep
cost	тұру, бағасы	how much money it needs	verb
those	анау	the things over there	pron
talk	сөйлесу	to speak with someone	verb
under	астында	below	prep
whole	бүкіл	all of it	adj
finished	аяқталды	brought to an end	verb
beginning	басы	the first part	noun
close	жабу; жақын	to shut, or near	verb
compare	салыстыру	to see how two things differ	verb
cut	кесу	to split with a knife	verb
forget	ұмыту	to lose it from your mind	verb
top	жоғарғы жағы	the highest part	noun
case	жағдай; сөмке	a situation, or a bag	noun
interested	қызығушылық танытады	wanting to know more	adj
mistake	қате	something done wrong	noun
large	үлкен	big	adj
worked	жұмыс істеді	past of "work"	verb
sea	теңіз	a lot of salt water	noun
drink	ішу	to take liquid in your mouth	verb
neither	екеуі де емес	not one and not the other	det
writing	жазу	making words with a pen	verb
saying	айтып	speaking words now	verb
become	болу	to start to be	verb
main	басты	the most important	adj
minister	министр	a top person in government	noun
ill	ауру	not well	adj
example	мысал	one thing that shows the rest	noun
tried	тырысты	past of "try"	verb
felt	сезінді	past of "feel"	verb
paper	қағаз	you write on it	noun
everyone	әркім	all people	pron
interesting	қызық	it makes you want to know more	adj
suggested	ұсынды	past of "suggest"	verb
suggest	ұсыну	to say an idea for someone	verb
hand	қол	it has five fingers	noun
borrow	қарызға алу	to take and give back later	verb
service	қызмет	work done for people	noun
doctor	дәрігер	they treat sick people	noun
front	алдыңғы жағы	the part that faces you	noun
break	сындыру; үзіліс	to make into pieces, or a rest	verb
free	тегін; бос	no money needed, or not busy	adj
expression	сөз орамы	a set way of saying something	noun
negative	болымсыз	saying no, not positive	adj
famous	әйгілі	known by many people	adj
floor	еден; қабат	you walk on it, or a storey	noun
easy	оңай	not difficult	adj
won	жеңді	past of "win"	verb
agree	келісу	to think the same	verb
village	ауыл	a very small town	noun
sent	жіберді	past of "send"	verb
taken	алынған	past part of "take"	verb
expected	күтті	past of "expect"	verb
garden	бақ, бау	green land by a house	noun
post	пошта	letters sent by mail	noun
structure	құрылым	how parts are put together	noun
sister	әпке, қарындас	your female sibling	noun
coffee	кофе	a hot dark drink	noun
lived	тұрды	past of "live"	verb
seems	көрінеді	it looks that way	verb
beach	жағажай	sand next to the sea	noun
decide	шешу	to choose after thinking	verb
hungry	аш	needing food	adj
whose	кімнің	asks who owns it	det
air	ауа	what you breathe	noun
myself	өзім	me, doing it to me	pron
sleep	ұйықтау	to rest with eyes closed	verb
head	бас	the top part of your body	noun
sit	отыру	to rest on a chair	verb
speech	сөйлеу; сөз	talking, or a public talk	noun
art	өнер	painting and drawing	noun
wearing	киіп	having clothes on now	verb
animal	жануар	a living thing, not a plant	noun
allowed	рұқсат етілген	people may do it	adj
hot	ыстық	very warm	adj
game	ойын	something you play	noun
birthday	туған күн	the day you were born	noun
takes	алады	"take" for he, she, it	verb
hate	жек көру	to dislike very much	verb
beautiful	әдемі	very nice to look at	adj
longer	ұзағырақ	for more time	adv
sun	күн	the star that gives us light	noun
swimming	жүзу	moving in water	verb
unit	бөлім	one part of a book	noun
ideas	идеялар	thoughts or plans	noun
boss	бастық	the person in charge	noun
heavy	ауыр	hard to lift	adj
forward	алға	towards the front	adv
moved	көшті	past of "move"	verb
show	көрсету	to let someone see	verb
short	қысқа	not long, not tall	adj
perhaps	мүмкін	maybe	adv
fact	факт	something that is true	noun
taxi	такси	a car you pay to ride in	noun
brother	аға, іні	your male sibling	noun
walked	жүрді	past of "walk"	verb
meal	тамақ	food eaten at one time	noun
tonight	бүгін кешке	this evening	adv
talking	сөйлесіп	speaking now	verb
changed	өзгертті	past of "change"	verb
driver	жүргізуші	the person driving	noun
staying	қалып	not leaving now	verb
instead	орнына	in place of that	adv
public	көпшілік	open to all people	adj
describe	сипаттау	to say what it is like	verb
you'll	сен ...-сың	short for "you will"	verb
staff	қызметкерлер	the people who work there	noun
mustn't	болмайды	short for "must not"	verb
kitchen	ас үй	the room for cooking	noun
museum	мұражай	where old things are shown	noun
surprised	таңғалды	not expecting it	adj
river	өзен	water flowing to the sea	noun
dog	ит	an animal that barks	noun
alone	жалғыз	with nobody else	adj
mine	менікі	the thing belonging to me	pron
send	жіберу	to make it go to someone	verb
plane	ұшақ	it flies in the sky	noun
college	колледж	school after high school	noun
advice	кеңес	what you should do	noun
area	аудан, аймақ	a part of a place	noun
fit	сай келу; сымбатты	to be the right size, or healthy	verb
situation	жағдай	how things are now	noun
almost	дерлік	very nearly	adv
couple	жұп, екеу	two, or two people together	noun
absolutely	мүлдем	completely	adv
terrible	сұмдық	very bad	adj
caused	себеп болды	past of "cause"	verb
local	жергілікті	from near here	adj
story	әңгіме	what happened, told to you	noun
written	жазылған	past part of "write"	verb
class	сынып	students learning together	noun
learn	үйрену	to get knowledge	verb
war	соғыс	fighting between countries	noun
enjoyed	рахат алды	past of "enjoy"	verb
you've	сенде бар	short for "you have"	verb
card	карта, ашық хат	stiff paper you write on	noun
thanks	рақмет	you say it for a favour	noun
french	француз тілі	the language of France	noun
needn't	қажет емес	short for "need not"	verb
piece	бөлік	one part of something	noun
group	топ	people or things together	noun
experience	тәжірибе	what you learned by doing	noun
wedding	үйлену тойы	the day two people marry	noun
positive	оң, болымды	saying yes, or good	adj
care	қамқорлық	to look after, to mind	noun
sitting	отырып	resting on a chair now	verb
south	оңтүстік	the opposite of north	noun
touch	тию	to put your hand on	verb
reply	жауап беру	to answer	verb
knew	білді	past of "know"	verb
president	президент	the head of a country	noun
none	ешқайсысы	not any	pron
plenty	жеткілікті	more than enough	noun
breakfast	таңғы ас	the first meal of the day	noun
anybody	кез келген адам	any person	pron
education	білім беру	teaching and learning	noun
paid	төледі	past of "pay"	verb
age	жас	how old you are	noun
gap	бос орын	an empty space to fill	noun
seem	көріну	to look like	verb
vocabulary	сөздік қор	all the words you know	noun
badly	нашар	in a bad way	adv
along	бойымен	from one end towards the other	prep
quickly	жылдам	in a short time	adv
win	жеңу	to come first	verb
half	жарты	one of two equal parts	noun
yeah	иә	yes, in relaxed speech	adv
amount	мөлшер	how much there is	noun
replace	алмастыру	to put a new one in its place	verb
father	әке	your male parent	noun
health	денсаулық	how well your body is	noun
among	арасында	in the middle of many	prep
aren't	емес	short for "are not"	verb
bag	сөмке	you carry things in it	noun
underline	асты сызу	to draw a line under a word	verb
colour	түс	red, blue, green	noun
raining	жаңбыр жауып тұр	water is falling from clouds	verb
further	әрі қарай	more, or farther	adv
special	ерекше	not like the others	adj
yours	сенікі	the thing belonging to you	pron
leaving	кетіп бара жатқан	going away now	verb
listen	тыңдау	to pay attention to sound	verb
careful	мұқият	giving attention so nothing goes wrong	adj
stayed	қалды	past of "stay"	verb
quiet	тыныш	with little noise	adj
invited	шақырды	past of "invite"	verb
invite	шақыру	to ask someone to come	verb
thinking	ойланып	using your mind now	verb
travelling	саяхаттап	going from place to place now	verb
festival	мереке, фестиваль	days of music or celebration	noun
agreed	келісті	past of "agree"	verb
afternoon	түстен кейін	after midday	noun
pass	өту; беру	to go by, or to hand over	verb
studying	оқып	learning now	verb
system	жүйе	parts working as one	noun
type	түр; теру	a kind, or to write on a keyboard	noun
opinion	пікір	what you think about it	noun
speaking	сөйлеп	saying words now	verb
lift	лифт; көтеру	a box that carries you up, or to raise	noun
move	жылжу, көшу	to change place	verb
ring	қоңырау шалу; сақина	to phone, or jewellery for a finger	verb
promised	уәде берді	past of "promise"	verb
worry	уайымдау	to think about bad things	verb
huge	алып	very big	adj
subject	пән; тақырып	what you study or talk about	noun
plan	жоспар	what you will do	noun
manager	менеджер	the person who runs the work	noun
interview	сұхбат	questions asked for a job	noun
common	жиі кездесетін	seen very often	adj
offered	ұсынды	past of "offer"	verb
offer	ұсыну	to say you will give it	verb
high	биік	far from the ground	adj
fell	құлады	past of "fall"	verb
turned	бұрды	past of "turn"	verb
concert	концерт	live music for people	noun
event	оқиға	something that happens	noun
adverb	үстеу	a word that describes a verb	noun
shoes	аяқ киім	you wear them on your feet	noun
running	жүгіріп	moving fast on foot now	verb
broke	сындырды	past of "break"	verb
born	туған	come into the world	adj
picture	сурет	a drawing or photo	noun
wall	қабырға	the side of a room	noun
united	біріккен	joined together	adj
newspaper	газет	printed daily news	noun
hurt	ауыртты	to cause pain	verb
supposed	тиіс	people expect it	adj
real	нақты, шынайы	not false	adj
stand	тұру	to be on your feet	verb
black	қара	the colour of night	adj
wants	қалайды	"want" for he, she, it	verb
view	көрініс; көзқарас	what you see, or an opinion	noun
fast	жылдам	moving quickly	adj
flight	рейс	a trip by plane	noun
held	ұстады	past of "hold"	verb
space	орын, кеңістік	an empty place	noun
fruit	жеміс	apples, oranges, bananas	noun
hurry	асығу	to move fast	verb
degree	дәреже; диплом	a level, or a university title	noun
least	ең аз	the smallest amount	det
reading	оқып	looking at words now	verb
red	қызыл	the colour of blood	adj
opened	ашты	past of "open"	verb
known	белгілі	past part of "know"	verb
neighbour	көрші	the person living next to you	noun
somewhere	бір жерде	in some place	adv
machine	машина, құрылғы	a thing with parts that works	noun
injured	жарақат алды	hurt in an accident	adj
winter	қыс	the cold season	noun
became	болды	past of "become"	verb
american	американдық	from the USA	adj
umbrella	қолшатыр	it keeps rain off you	noun
monday	дүйсенбі	the first work day	noun
research	зерттеу	careful study to find facts	noun
useful	пайдалы	it helps you	adj
british	британдық	from Britain	adj
deal	келісім	an agreement in business	noun
everybody	бәрі	all people	pron
film	фильм	a moving picture story	noun
result	нәтиже	what came out of it	noun
flower	гүл	the pretty part of a plant	noun
pretty	әдемі; әжептәуір	nice to look at, or fairly	adj
television	теледидар	a screen that shows programmes	noun
putting	қойып	placing it somewhere now	verb
built	салды	past of "build"	verb
several	бірнеше	more than two, not many	det
check	тексеру	to look if it is right	verb
note	жазба	a short written message	noun
journey	сапар	travelling from here to there	noun
learning	үйреніп	getting knowledge now	verb
online	желіде	on the internet	adj
line	сызық, жол	a long thin mark	noun
position	орын, лауазым	where it is, or a job	noun
friendly	достық	kind and easy to talk to	adj
seven	жеті	the number 7	num
upset	ренжіген	unhappy about something	adj
spoken	айтылған	past part of "speak"	verb
missing	жоқ, жоғалған	not there	adj
explain	түсіндіру	to make it clear	verb
tree	ағаш	a tall plant with a trunk	noun
boring	қызықсыз	not interesting	adj
passive	ырықсыз етіс	the thing receives the action	adj
article	мақала; артикль	a text, or a/an/the	noun
starting	бастап	beginning now	verb
stress	екпін; күйзеліс	the strong part of a word, or worry	noun
interest	қызығушылық	wanting to know about it	noun
capital	астана; бас әріп	the main city, or A B C	noun
